"site","LID","sen_slope","sen_signif"
"Christchurch","25972",0.826899271652894,0.175308080808274
"Christchurch","39122",-0.542142622157384,0.251452186508022
"Christchurch","41365",-0.321963678087005,0.175308080808274
"Christchurch","47579",0.190814291248483,0.602167527748196
"Christchurch","48177",0.386211472428216,0.0763327403763572
"Christchurch","48447",-0.151918214725417,0.348082623632924
"Christchurch","48597",-0.346609603489187,0.251452186508022
"Christchurch","48657",-0.166592351361782,0.754454177494089
"Christchurch","48660",0.212004547519657,0.348082623632924
"Christchurch","48669",-0.3059564238878,0.251452186508022
"Christchurch","48679",-0.325664317544063,0.175308080808274
"Christchurch","48700",0.390853324143271,0.465512169874187
"Dunedin","1553",-0.318824634568263,0.602167527748196
"Dunedin","44391",0.177965827546028,0.602167527748196
"Dunedin","44570",-0.0739297118092402,0.916965236628864
"Dunedin","44574",-0.120589814560261,0.602167527748196
"Dunedin","44599",0.306321594963676,0.117850895021365
"Dunedin","44677",-0.491362830316064,0.251452186508022
"Dunedin","44694",0.253307508734175,0.465512169874187
"Dunedin","44746",0.0941320268666523,0.916965236628864
"Dunedin","44747",-0.0549867746746386,0.465512169874187
"Dunedin","45151",0.236502487125522,0.465512169874187
"Dunedin","45153",0.217013641039358,0.348082623632924
"Dunedin","45155",0.284096670267919,0.602167527748196
"Gisborne","34663",0.545334927176006,0.175308080808274
"Gisborne","34665",0.426210887985469,0.465512169874187
"Gisborne","37607",0.562136970436898,0.0476039547278715
"Gisborne","40050",0.225086320485432,0.028567681801513
"Gisborne","40311",0.765661583241232,0.00914914757959376
"Gisborne","40312",1.16326630232826,0.028567681801513
"Gisborne","40321",0.76910694264042,0.012266061386213
"Gisborne","40323",0.58180319936382,0.0318231273864902
"Gisborne","40325",0.508639661693342,0.175308080808274
"Gisborne","40326",0.396658888794274,0.107404636330254
"Gisborne","40327",0.403600905437701,0.0200446686226275
"Gisborne","40392",0.599916399247785,0.0736382701203027
"Gisborne","40393",0.419810886609509,0.283130870662347
"Gisborne","40396",-0.0876303165519609,0.602167527748196
"Gisborne","40403",0.162349342614324,0.465512169874187
"Gisborne","40521",0.421825971051513,0.348082623632924
"Gisborne","40534",0.24240917469601,0.465512169874187
"Gore","36046",0.286718778313037,0.602167527748196
"Gore","44210",-0.234283630296968,0.348082623632924
"Gore","50690",0.0512666836124088,0.916965236628864
"Hamilton","12591",0.302367284633276,0.028567681801513
"Hamilton","12830",0.469714797510221,0.251452186508022
"Hamilton","12831",0.218234873099215,0.348082623632924
"Hamilton","12872",0.16698356672573,0.175308080808274
"Hamilton","12873",0.377399100738881,0.117850895021365
"Hamilton","12876",0.547846520490362,0.028567681801513
"Hamilton","13736",0.464928436371061,0.251452186508022
"Hamilton","14405",0.302404282251592,0.0763327403763572
"Hamilton","14406",0.136388247063737,0.602167527748196
"Hamilton","14407",0.261376248381956,0.602167527748196
"Hamilton","14408",0.295642035630027,0.251452186508022
"Hamilton","14418",0.0417724436992772,1
"Hamilton","14422",0.334829713178462,0.0763327403763572
"Hamilton","14424",0.32260221794679,0.175308080808274
"Hamilton","14425",0.468294778188822,0.0763327403763572
"Hamilton","14426",0.114278421314356,0.465512169874187
"Hamilton","14428",0.284969011946228,0.175308080808274
"Hamilton","14541",0.0391269991221612,0.916965236628864
"Hamilton","14546",0.447493821471156,0.348082623632924
"Hamilton","14680",0.542546688269427,0.251452186508022
"Hamilton","14720",-0.328759980652706,0.602167527748196
"Hamilton","14888",-0.247586430535903,0.602167527748196
"Hamilton","15005",0.488676381922622,0.117850895021365
"Hamilton","15007",0.403898278354338,0.348082623632924
"Hamilton","15008",0.123827523447105,0.916965236628864
"Hamilton","15013",0.109601621222013,0.602167527748196
"Hamilton","15020",0.128884044003343,0.754454177494089
"Hamilton","15022",0.186138827442994,0.916965236628864
"Hamilton","15032",-0.0980887599060694,0.602167527748196
"Hamilton","15033",-0.171034644176595,0.348082623632924
"Hamilton","15034",-0.0838553371038751,0.602167527748196
"Hamilton","15035",-0.0164491422026306,0.916965236628864
"Hamilton","15036",-0.054508045159639,0.754454177494089
"Hamilton","15037",0.102607622504555,0.754454177494089
"Hamilton","15038",-0.0995231455409644,0.916965236628864
"Hamilton","15039",0.185579412458564,0.754454177494089
"Hamilton","41314",-0.0878981799933563,0.602167527748196
"Hamilton","49090",0.416012269072297,0.0763327403763572
"Hamilton","49091",0.426139019384467,0.175308080808274
"Hamilton","49176",-0.299971119791095,0.175308080808274
"Hamilton","49180",-0.0688035197134968,0.916965236628864
"Hamilton","49186",-0.0146440610725556,0.916965236628864
"Hamilton","49187",-0.19699754899153,0.117850895021365
"Hamilton","49200",0.0108963597823305,1
"Hamilton","49239",0.439625533993826,0.465512169874187
"Hamilton","50470",-0.0987807225651873,0.916965236628864
"Hamilton","50782",0.326795311554592,0.251452186508022
"Hokitika","38170",0.387073422056103,0.175308080808274
"Hokitika","38421",0.249175567722672,0.754454177494089
"Hokitika","38434",0.594666613637667,0.028567681801513
"Hokitika","38488",-0.182134061484875,0.754454177494089
"Hokitika","38502",0.159493305624827,0.251452186508022
"Hokitika","38521",0.14100291947989,0.602167527748196
"Hokitika","38614",0.161849048035798,0.602167527748196
"Hokitika","38638",0.255226002870639,0.465512169874187
"Hokitika","38661",0.122368735489099,0.754454177494089
"Hokitika","38664",0.129974999454839,0.175308080808274
"Hokitika","38665",0.416869885333909,0.0763327403763572
"Hokitika","38942",0.50020608694225,0.348082623632924
"Hokitika","38955",0.405355813024034,0.348082623632924
"Hokitika","38967",0.320404691191105,0.602167527748196
"Hokitika","38969",0.565177388002963,0.028567681801513
"Hokitika","38974",0.234381580277412,0.465512169874187
"Hokitika","39012",0.316776381306662,0.386476230771233
"Hokitika","39050",-0.0893707267868149,1
"Hokitika","39056",0.336406467144114,0.465512169874187
"Hokitika","39109",0.150233593465067,0.754454177494089
"Hokitika","46964",0.171522523973662,0.602167527748196
"Hokitika","47090",-0.268457634588626,0.465512169874187
"Hokitika","47092",0.207188434452299,0.916965236628864
"Hokitika","47094",0.311794882971904,0.175308080808274
"Hokitika","47095",0.414290435268215,0.175308080808274
"Hokitika","47491",0.485529426552267,0.465512169874187
"Hokitika","48213",-0.150633828233863,0.117850895021365
"Hokitika","48216",-0.396795427621864,0.602167527748196
"Hokitika","48217",-0.401863353705554,0.251452186508022
"Hokitika","48395",0.284232198270889,0.602167527748196
"Hokitika","48406",-0.000584900557180301,1
"Hokitika","48451",-0.0139051805194625,0.916965236628864
"Hokitika","48455",-0.153811538275231,0.602167527748196
"Hokitika","48456",0.343805491784833,0.465512169874187
"Hokitika","48468",-0.252137915421046,0.602167527748196
"Hokitika","48470",-0.275307100599142,0.465512169874187
"Hokitika","48541",0.163461535306149,0.251452186508022
"Hokitika","48663",-0.188055185437448,0.602167527748196
"Hokitika","48673",-0.230316236359816,0.754454177494089
"Invercargill","26031",-0.00581624158182334,1
"Invercargill","26036",-0.00476227217406469,1
"Invercargill","26051",-0.362830161254164,0.175308080808274
"Invercargill","26111",0.32736841098032,0.348082623632924
"Invercargill","28385",-0.591260044271128,0.175308080808274
"Invercargill","28394",-0.19885228557204,0.465512169874187
"Invercargill","28532",0.102439079889428,0.602167527748196
"Invercargill","28543",-0.17289583154727,0.348082623632924
"Invercargill","28624",0.299405395875595,0.0476039547278715
"Invercargill","28835",-0.472368594386821,0.117850895021365
"Invercargill","28867",-0.218469816644466,0.251452186508022
"Invercargill","28879",-0.0312471998898573,1
"Invercargill","29031",0.0181046216138612,0.916965236628864
"Invercargill","29073",-0.0161471718464027,1
"Invercargill","29104",-0.19852714303577,0.602167527748196
"Invercargill","29244",-0.00358285296949346,1
"Invercargill","29250",-0.0220644020981578,0.916965236628864
"Invercargill","29254",-0.026075438431274,0.916965236628864
"Invercargill","29541",0.0956225812283808,0.602167527748196
"Invercargill","29547",-0.132692038374478,0.754454177494089
"Invercargill","29568",0.0431746115052874,0.754454177494089
"Invercargill","29579",0.143015533742669,0.754454177494089
"Invercargill","29596",-0.224862426010938,0.754454177494089
"Invercargill","29598",-0.323669805719489,0.754454177494089
"Invercargill","29614",-0.0128320811729262,0.916965236628864
"Invercargill","29917",0.386141994669035,0.348082623632924
"Invercargill","29956",0.0025327583574873,1
"Invercargill","30380",0.192477622273932,0.175308080808274
"Invercargill","30810",0.183384465931202,0.754454177494089
"Invercargill","30812",-0.201576677225615,0.348082623632924
"Invercargill","43639",0.220975695025551,0.348082623632924
"Invercargill","43649",-0.0659643311984048,0.602167527748196
"Invercargill","43655",-0.198191893985199,0.710523022916489
"Invercargill","43661",0.247677145802164,0.754454177494089
"Invercargill","54742",-0.0655826576724405,0.916965236628864
"Napier","32427",0.284852129299498,0.175308080808274
"Napier","32478",0.741612645431234,0.0490979816092656
"Napier","35422",0.353031186567818,0.175308080808274
"Napier","35662",0.42213298780743,0.0476039547278715
"Napier","36096",0.304687482670584,0.602167527748196
"Napier","36215",0.275186269093722,0.602167527748196
"Napier","36285",0.0908555739163125,0.602167527748196
"Napier","36314",0.294052363668582,0.251452186508022
"Napier","36315",0.0285640967423639,0.916965236628864
"Napier","36979",0.514697888967501,0.0763327403763572
"Napier","36980",0.233742557476091,0.465512169874187
"Napier","36981",0.266819117203043,0.754454177494089
"Napier","37529",0.2740903118831,0.251452186508022
"Napier","37530",0.232168867219129,0.117850895021365
"Napier","37534",0.700330320073378,0.0164886567276701
"Napier","40307",0.693623337975176,0.117850895021365
"Nelson","24754",-0.150530920945277,0.602167527748196
"Nelson","24755",0.147587976803671,0.916965236628864
"Nelson","24795",-0.14853951964706,0.754454177494089
"Nelson","24827",0.429955376390217,0.536186771900174
"Nelson","24846",0.291374700387113,0.465512169874187
"Nelson","24869",1.3827092139162,0.173546221787853
"Nelson","24916",0.449385540185488,0.0763327403763572
"Nelson","24927",0.0920672267919107,0.754454177494089
"Nelson","24947",0.182100250404506,0.465512169874187
"Nelson","24949",0.14084757296322,0.916965236628864
"Nelson","24954",0.414740749696216,0.602167527748196
"Nelson","24955",0.69565572168142,0.0476039547278715
"Nelson","24960",0.429847518181938,0.175308080808274
"Nelson","24969",0.139604290240652,0.754454177494089
"Nelson","24971",0.22144183042236,0.465512169874187
"Nelson","24995",0.283517642618955,0.602167527748196
"Nelson","25002",0.0621536701759812,0.916965236628864
"Nelson","25008",0.40146630203524,0.348082623632924
"Nelson","25016",-0.250008627005694,0.251452186508022
"Nelson","25023",0.19082559907996,0.465512169874187
"Nelson","25024",0.132089701706909,0.602167527748196
"Nelson","25044",0.11217874318135,0.175308080808274
"Nelson","25519",-0.0271077629343642,0.916965236628864
"Nelson","25765",-0.204741047521782,0.465512169874187
"Nelson","25789",-0.0959672522492809,0.602167527748196
"Nelson","25790",0.204718906815153,0.465512169874187
"Nelson","27762",0.32158252892169,0.348082623632924
"Nelson","28162",0.182995539450686,0.251452186508022
"New Plymouth","16325",0.480135600299237,0.251452186508022
"New Plymouth","16392",0.573816567231698,0.00487856447503363
"New Plymouth","20880",0.181428702322735,0.251452186508022
"New Plymouth","20904",0.307696369396894,0.251452186508022
"New Plymouth","7512",0.258700573218303,0.465512169874187
"Queenstown","50704",0.593289477619703,0.465512169874187
"Queenstown","52115",-0.308996112845079,0.465512169874187
"Queenstown","53145",0.00209991992126191,0.916965236628864
"Queenstown","53202",-0.572796068015632,0.117850895021365
"Queenstown","53300",0.649301666188555,0.028567681801513
"Queenstown","53304",0.255553940183635,0.348082623632924
"Queenstown","53306",-0.272255758586199,0.602167527748196
"Queenstown","53338",0.062598318053264,0.754454177494089
"Queenstown","53353",0.125405868247154,0.754454177494089
"Queenstown","53392",-0.117442923100824,0.602167527748196
"Queenstown","53532",-0.0546399592345525,0.754454177494089
"Queenstown","53545",0.179903646788431,0.916965236628864
"Queenstown","53548",-0.0594806509687598,0.754454177494089
"Queenstown","53549",-0.0490194268654635,1
"Queenstown","53707",0.145484404127106,0.754454177494089
"Queenstown","53730",0.204882442993935,0.465512169874187
"Queenstown","54035",-0.640812435558637,0.251452186508022
"Queenstown","54038",-0.591467466885557,0.175308080808274
"Queenstown","54039",-0.291502407173997,0.710523022916489
"Queenstown","54190",-0.0614203900583491,0.754454177494089
"Queenstown","54255",-0.341036544115161,0.0164886567276701
"Queenstown","54309",-0.468449303821105,0.348082623632924
"Queenstown","54737",0.23241606484763,0.348082623632924
"Queenstown","7633",0.293990499646198,0.754454177494089
"Queenstown","7657",-0.269089749449603,0.465512169874187
"Queenstown","7660",-0.196701078998278,0.348082623632924
"Queenstown","7688",0.494587321675091,0.117850895021365
"Queenstown","7689",0.306378314377914,0.465512169874187
"Queenstown","7748",0.0925442512743254,0.916965236628864
"Queenstown","7901",-0.11763146913612,0.754454177494089
"Queenstown","8138",0.384620626241701,0.386476230771233
"Rotorua","11084",0.110663623365211,0.916965236628864
"Rotorua","11132",0.234482729516733,0.754454177494089
"Rotorua","11133",0.0315160282166179,0.465512169874187
"Rotorua","11138",-0.0423176831815819,0.916965236628864
"Rotorua","13957",0.220189010267926,0.251452186508022
"Rotorua","14071",0.15856594716383,0.754454177494089
"Rotorua","14157",0.598481255500886,0.0476039547278715
"Rotorua","14179",0.109393788236338,0.348082623632924
"Rotorua","14205",0.173708395011842,0.465512169874187
"Rotorua","14208",0.228906939194564,0.465512169874187
"Rotorua","14290",-0.084419920335062,0.916965236628864
"Rotorua","14586",-0.053485060142061,0.916965236628864
"Rotorua","15312",0.215380811008746,0.465512169874187
"Rotorua","15325",0.504893779905132,0.465512169874187
"Rotorua","15621",0.276253039877177,0.348082623632924
"Rotorua","15706",0.23377318436283,0.916965236628864
"Rotorua","38233",0.320121043564249,0.348082623632924
"Rotorua","39876",0.221263989224075,0.348082623632924
"Rotorua","39879",0.481677492579998,0.465512169874187
"Rotorua","39884",-0.0252386504805205,0.916965236628864
"Rotorua","39885",-0.0411370709895991,0.754454177494089
"Rotorua","40071",0.204527209088127,0.754454177494089
"Rotorua","40102",0.281816562879611,0.754454177494089
"Rotorua","40107",0.124699990891509,0.754454177494089
"Rotorua","40110",0.185769299559398,0.754454177494089
"Rotorua","40120",0.292796360796088,0.348082623632924
"Rotorua","40124",0.414918753503088,0.175308080808274
"Rotorua","40135",0.612981731266734,0.028567681801513
"Rotorua","40188",0.160103933339878,0.465512169874187
"Rotorua","40190",0.378733539788265,0.251452186508022
"Rotorua","40191",0.715642399110414,0.117850895021365
"Rotorua","40202",0.176241991049122,0.348082623632924
"Rotorua","54730",-0.209333592485268,0.602167527748196
"Rotorua","54731",0.0409436701197154,0.916965236628864
"Rotorua","54732",0.225655433386987,0.117850895021365
"Rotorua","54733",0.361337264142727,0.175308080808274
"Taupo","13148",0.161468988789501,0.348082623632924
"Taupo","13277",0.00923700202668443,1
"Taupo","13278",-0.000726120486544229,1
"Taupo","13857",0.275307796149001,0.348082623632924
"Taupo","13873",0.324577919622119,0.117850895021365
"Taupo","13876",0.123798555021027,0.916965236628864
"Taupo","13877",0.161286673843778,0.465512169874187
"Taupo","13909",-0.713136001555929,0.107762290391921
"Taupo","13915",-0.316282739672957,0.754454177494089
"Taupo","13970",0.634103586460311,0.251452186508022
"Taupo","21370",0.422107383773557,0.0763327403763572
"Taupo","40072",0.408204245100825,0.117850895021365
"Taupo","54734",0.56050936402403,0.117850895021365
"Tauranga","15719",0.186850768944395,0.251452186508022
"Timaru","12469",0.517823488296277,0.028567681801513
"Timaru","12690",0.42697178783097,0.028567681801513
"Wellington","1",0.28931974929052,0.175308080808274
"Wellington","1708",0.254807611073731,0.0476039547278715
"Wellington","195",0.18450380950041,0.028567681801513
"Wellington","229",0.0255068036815551,0.916965236628864
"Wellington","3",0.175801252045441,0.251452186508022
"Wellington","4",0.15516388207684,0.754454177494089
"Wellington","4278",0.403596550209611,0.0476039547278715
"Wellington","515",0.439267916158663,0.117850895021365
"Wellington","6",0.24489251349759,0.117850895021365
"Wellington","7",0.425484931067658,0.0763327403763572
"Whangarei","17761",0.0341196752989118,0.754454177494089
"Whangarei","21760",-0.187814792264994,0.754454177494089
"Whangarei","21912",-0.199654385838154,0.602167527748196
"Whangarei","21918",0.304676073929513,0.465512169874187
"Whangarei","21926",0.40834109591912,0.602167527748196
"Whangarei","23000",0.0871680971189677,0.916965236628864
"Whangarei","23681",-0.0146582398096215,1
"Whangarei","23863",0.243666465052559,0.754454177494089
"Whangarei","50314",-0.0582290046230244,0.754454177494089
"Whangarei","50320",0.167326555169159,0.916965236628864
"Whangarei","50326",0.27915954224998,0.916965236628864
"Whangarei","50345",0.0697544739906983,1
"Whangarei","50377",0.262938759604007,0.465512169874187
"Whangarei","50405",0.109353508347231,0.754454177494089
"Whangarei","50413",0.26490809300873,0.465512169874187
